,users,users_received_1,campaign_type_1,opened_1,camp_volume_1,users_received_8,campaign_type_8,opened_8,camp_volume_8,users_received_16,campaign_type_16,opened_16,camp_volume_16,disc1_pre_3days,disc1_pre_6day,disc1_pre_14dat,disc2_pre_4days,disc2_pre_7day,disc2_pre_14day,disc3_pre_1day,disc4_pre_2day,disc5_pre_1day,disc5_pre_13day,products_pre_3days,products_pre_7day,products_pre_14day,new_users_pre_3days,new_users_pre_7day,new_users_pre_14day,volume_pre_3days,volume_pre_7day,volume_pre_14day,full_revenue_pre_3days,full_revenue_pre_7day,full_revenue_pre_14day,year,month
244,0.0,1.0,1.0,1.0,1.0,39.0,3.0,11.0,39.0,6.0,3.0,0.0,6.0,8.0,0.0,1.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,13.0,1.0,2.0,8.0,2.0,1.0,16.0,3.0,2.0,41600.0,6000.0,4500.0,2016,1
245,2.0,43.0,2.0,13.0,43.0,117.0,2.0,24.0,117.0,45.0,1.0,9.0,45.0,6.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,1.0,8.0,2.0,0.0,14.0,2.0,2.0,36000.0,5200.0,4000.0,2016,1
246,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,7.0,0.0,1.0,11.0,1.0,2.0,28050.0,2000.0,4900.0,2016,1
247,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,1.0,2.0,1.0,1.0,4.0,4.0,1.0,9550.0,12000.0,2200.0,2016,2
249,0.0,168.0,2.0,52.0,169.0,160.0,1.0,53.0,160.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,3.0,4.0,1.0,1.0,5.0,5.0,3.0,12400.0,13500.0,8900.0,2016,2
250,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,2.0,28.0,107.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,3.0,5.0,6.0,4.0,6.0,8.0,4.0,23000.0,20500.0,10900.0,2016,2
251,0.0,154.0,2.0,36.0,154.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,7.0,1.0,1.0,7.0,1.0,2.0,8.0,1.0,3.0,33600.0,2000.0,6000.0,2016,2
252,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,117.0,2.0,24.0,117.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,2.0,1.0,7.0,0.0,2.0,8.0,2.0,2.0,34200.0,5550.0,5200.0,2016,2
253,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,5.0,1.0,0.0,7.0,1.0,1.0,25500.0,2000.0,2000.0,2016,2
254,3.0,26.0,3.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,2.0,2.0,1.0,4.0,3.0,4.0,15500.0,8200.0,12000.0,2016,2
